transaction_id,transaction_date,description,transaction_type,amount
290,2024-05-03,Gas Station,WITHDRAWAL,-611.82
291,2024-05-03,ATM Withdrawal,WITHDRAWAL,-341.85
292,2024-05-03,Monthly Maintenance Fee,FEE,-607.68
293,2024-05-03,Bonus,DEPOSIT,542.02
294,2024-05-03,Transfer from Savings,TRANSFER,471.04
295,2024-05-04,ATM Withdrawal,WITHDRAWAL,-591.2
296,2024-05-04,Gift,DEPOSIT,149.45
297,2024-05-06,Gas Station,WITHDRAWAL,-318.36
298,2024-05-06,Restaurant,WITHDRAWAL,-635.94
299,2024-05-06,Paycheck,DEPOSIT,520.02
300,2024-05-08,Gas Station,WITHDRAWAL,-420.48
301,2024-05-08,Paycheck,DEPOSIT,192.62
302,2024-05-08,Bonus,DEPOSIT,76.41
303,2024-05-09,Gift,DEPOSIT,355.89
304,2024-05-09,ATM Withdrawal,WITHDRAWAL,-46.18
305,2024-05-10,Overdraft Fee,FEE,-75.05
306,2024-05-10,Restaurant,WITHDRAWAL,-532.37
307,2024-05-10,ATM Withdrawal,WITHDRAWAL,-406.76
308,2024-05-10,Restaurant,WITHDRAWAL,-111.95
309,2024-05-10,Restaurant,WITHDRAWAL,-946.65
310,2024-05-11,Refund,DEPOSIT,531.31
311,2024-05-13,Overdraft Fee,FEE,-662.33
312,2024-05-13,Gift,DEPOSIT,261.35
313,2024-05-13,Gift,DEPOSIT,29.51
314,2024-05-14,ATM Withdrawal,WITHDRAWAL,-186.76
315,2024-05-14,Restaurant,WITHDRAWAL,-723.6
316,2024-05-14,ATM Fee,FEE,-607.17
317,2024-05-14,Monthly Maintenance Fee,FEE,-149.67
318,2024-05-14,Restaurant,WITHDRAWAL,-897.37
319,2024-05-15,Gift,DEPOSIT,849.65
320,2024-05-16,Monthly Maintenance Fee,FEE,-427.21
321,2024-05-16,Overdraft Fee,FEE,-628.51
322,2024-05-16,Restaurant,WITHDRAWAL,-385.9
323,2024-05-16,Gas Station,WITHDRAWAL,-832.35
324,2024-05-17,Grocery Store,WITHDRAWAL,-369.13
325,2024-05-17,Overdraft Fee,FEE,-948.97
326,2024-05-17,Gas Station,WITHDRAWAL,-123.1
327,2024-05-17,Restaurant,WITHDRAWAL,-895.61
328,2024-05-19,Refund,DEPOSIT,744.27
329,2024-05-20,Restaurant,WITHDRAWAL,-225.84
330,2024-05-21,ATM Fee,FEE,-530.43
331,2024-05-21,Gift,DEPOSIT,686.35
332,2024-05-21,Monthly Maintenance Fee,FEE,-816.9
333,2024-05-21,Grocery Store,WITHDRAWAL,-558.64
334,2024-05-21,Grocery Store,WITHDRAWAL,-723.0
335,2024-05-22,Paycheck,DEPOSIT,271.05
336,2024-05-22,Gift,DEPOSIT,601.44
337,2024-05-22,ATM Withdrawal,WITHDRAWAL,-499.33
338,2024-05-22,ATM Withdrawal,WITHDRAWAL,-424.58
339,2024-05-23,Grocery Store,WITHDRAWAL,-56.5
340,2024-05-23,Gift,DEPOSIT,192.53
341,2024-05-23,Gift,DEPOSIT,252.9
342,2024-05-24,Overdraft Fee,FEE,-362.12
343,2024-05-24,Restaurant,WITHDRAWAL,-614.3
344,2024-05-24,Transfer to Savings,TRANSFER,-667.03
345,2024-05-24,Transfer to Savings,TRANSFER,-488.92
346,2024-05-25,Bonus,DEPOSIT,170.39
347,2024-05-26,Refund,DEPOSIT,955.68
348,2024-05-26,Paycheck,DEPOSIT,773.2
349,2024-05-26,Paycheck,DEPOSIT,358.02
350,2024-05-29,Grocery Store,WITHDRAWAL,-465.08
351,2024-05-29,Refund,DEPOSIT,801.42
352,2024-05-29,Grocery Store,WITHDRAWAL,-15.2
353,2024-05-29,Paycheck,DEPOSIT,100.67
354,2024-05-30,Transfer to Savings,TRANSFER,-950.73
355,2024-05-30,Restaurant,WITHDRAWAL,-95.84
356,2024-05-31,ATM Withdrawal,WITHDRAWAL,-761.45
357,2024-05-31,Gas Station,WITHDRAWAL,-850.7
