transaction_id,transaction_date,description,transaction_type,amount
568,2024-09-01,Refund,DEPOSIT,343.85
569,2024-09-01,Transfer to Savings,TRANSFER,-88.63
570,2024-09-01,Paycheck,DEPOSIT,599.79
571,2024-09-01,ATM Withdrawal,WITHDRAWAL,-234.39
572,2024-09-01,Gas Station,WITHDRAWAL,-447.99
573,2024-09-02,Paycheck,DEPOSIT,79.23
574,2024-09-02,Gas Station,WITHDRAWAL,-881.28
575,2024-09-02,Grocery Store,WITHDRAWAL,-238.52
576,2024-09-03,Grocery Store,WITHDRAWAL,-61.82
577,2024-09-04,ATM Withdrawal,WITHDRAWAL,-995.53
578,2024-09-04,Gas Station,WITHDRAWAL,-69.54
579,2024-09-04,Gas Station,WITHDRAWAL,-962.05
580,2024-09-05,ATM Withdrawal,WITHDRAWAL,-178.77
581,2024-09-05,Grocery Store,WITHDRAWAL,-455.87
582,2024-09-05,ATM Withdrawal,WITHDRAWAL,-307.84
583,2024-09-05,Transfer to Savings,TRANSFER,-927.91
584,2024-09-06,Gift,DEPOSIT,160.89
585,2024-09-06,Transfer from Savings,TRANSFER,770.91
586,2024-09-06,Refund,DEPOSIT,525.75
587,2024-09-06,Grocery Store,WITHDRAWAL,-790.02
588,2024-09-08,ATM Fee,FEE,-167.71
589,2024-09-08,Bonus,DEPOSIT,310.1
590,2024-09-08,Refund,DEPOSIT,387.1
591,2024-09-08,ATM Withdrawal,WITHDRAWAL,-558.26
592,2024-09-09,ATM Fee,FEE,-452.73
593,2024-09-09,Restaurant,WITHDRAWAL,-170.15
594,2024-09-10,Grocery Store,WITHDRAWAL,-570.91
595,2024-09-10,Gas Station,WITHDRAWAL,-931.29
596,2024-09-10,Refund,DEPOSIT,631.67
597,2024-09-10,Grocery Store,WITHDRAWAL,-869.38
598,2024-09-10,Overdraft Fee,FEE,-311.63
599,2024-09-12,Gift,DEPOSIT,698.0
600,2024-09-12,Gas Station,WITHDRAWAL,-577.31
601,2024-09-12,Transfer from Savings,TRANSFER,141.2
602,2024-09-12,Overdraft Fee,FEE,-492.19
603,2024-09-13,ATM Fee,FEE,-183.09
604,2024-09-13,ATM Withdrawal,WITHDRAWAL,-826.95
605,2024-09-13,Grocery Store,WITHDRAWAL,-77.49
606,2024-09-13,Paycheck,DEPOSIT,240.23
607,2024-09-13,Bonus,DEPOSIT,966.16
608,2024-09-14,Grocery Store,WITHDRAWAL,-877.34
609,2024-09-14,Gift,DEPOSIT,644.42
610,2024-09-14,Refund,DEPOSIT,606.53
611,2024-09-15,ATM Withdrawal,WITHDRAWAL,-782.95
612,2024-09-15,Grocery Store,WITHDRAWAL,-489.76
613,2024-09-16,Bonus,DEPOSIT,304.38
614,2024-09-17,Paycheck,DEPOSIT,130.17
615,2024-09-17,Restaurant,WITHDRAWAL,-185.99
616,2024-09-18,Gas Station,WITHDRAWAL,-996.73
617,2024-09-18,Overdraft Fee,FEE,-228.59
618,2024-09-18,Bonus,DEPOSIT,531.77
619,2024-09-19,Bonus,DEPOSIT,410.75
620,2024-09-20,Restaurant,WITHDRAWAL,-419.99
621,2024-09-20,Monthly Maintenance Fee,FEE,-393.21
622,2024-09-20,Transfer to Savings,TRANSFER,-421.99
623,2024-09-20,Grocery Store,WITHDRAWAL,-792.43
624,2024-09-21,Grocery Store,WITHDRAWAL,-197.8
625,2024-09-21,ATM Withdrawal,WITHDRAWAL,-22.0
626,2024-09-21,Paycheck,DEPOSIT,206.87
627,2024-09-21,Bonus,DEPOSIT,492.98
628,2024-09-22,Gift,DEPOSIT,459.83
629,2024-09-22,Overdraft Fee,FEE,-157.75
630,2024-09-23,Bonus,DEPOSIT,251.04
631,2024-09-23,Restaurant,WITHDRAWAL,-382.13
632,2024-09-23,Grocery Store,WITHDRAWAL,-398.47
633,2024-09-23,Transfer to Savings,TRANSFER,-955.78
634,2024-09-23,ATM Withdrawal,WITHDRAWAL,-943.4
635,2024-09-24,ATM Withdrawal,WITHDRAWAL,-286.57
636,2024-09-25,Bonus,DEPOSIT,783.36
637,2024-09-26,Grocery Store,WITHDRAWAL,-392.49
638,2024-09-26,ATM Withdrawal,WITHDRAWAL,-617.79
639,2024-09-26,Bonus,DEPOSIT,883.63
640,2024-09-27,ATM Withdrawal,WITHDRAWAL,-448.84
641,2024-09-27,Bonus,DEPOSIT,93.94
642,2024-09-27,ATM Withdrawal,WITHDRAWAL,-804.11
643,2024-09-27,Paycheck,DEPOSIT,956.94
644,2024-09-28,Restaurant,WITHDRAWAL,-303.57
645,2024-09-28,Restaurant,WITHDRAWAL,-942.89
646,2024-09-28,Restaurant,WITHDRAWAL,-182.37
647,2024-09-28,Refund,DEPOSIT,832.23
648,2024-09-29,Bonus,DEPOSIT,519.51
