transaction_id,transaction_date,description,transaction_type,amount
1,2024-01-01,Transfer to Savings,TRANSFER,-781.89
2,2024-01-01,Grocery Store,WITHDRAWAL,-164.43
3,2024-01-01,Bonus,DEPOSIT,340.37
4,2024-01-02,Refund,DEPOSIT,724.78
5,2024-01-02,Transfer from Savings,TRANSFER,190.01
6,2024-01-03,Grocery Store,WITHDRAWAL,-529.51
7,2024-01-03,ATM Withdrawal,WITHDRAWAL,-529.53
8,2024-01-03,Gas Station,WITHDRAWAL,-299.22
9,2024-01-03,Grocery Store,WITHDRAWAL,-99.7
10,2024-01-04,Gift,DEPOSIT,983.4
11,2024-01-04,ATM Withdrawal,WITHDRAWAL,-611.47
12,2024-01-04,Gift,DEPOSIT,23.13
13,2024-01-04,Transfer from Savings,TRANSFER,810.31
14,2024-01-04,ATM Withdrawal,WITHDRAWAL,-238.58
15,2024-01-05,Restaurant,WITHDRAWAL,-613.9
16,2024-01-05,Overdraft Fee,FEE,-910.23
17,2024-01-05,Bonus,DEPOSIT,757.81
18,2024-01-06,Grocery Store,WITHDRAWAL,-572.02
19,2024-01-06,Refund,DEPOSIT,777.38
20,2024-01-06,Transfer from Savings,TRANSFER,927.39
21,2024-01-06,Restaurant,WITHDRAWAL,-97.61
22,2024-01-06,Paycheck,DEPOSIT,961.56
23,2024-01-07,Grocery Store,WITHDRAWAL,-544.3
24,2024-01-07,ATM Withdrawal,WITHDRAWAL,-288.13
25,2024-01-07,ATM Withdrawal,WITHDRAWAL,-303.31
26,2024-01-07,Paycheck,DEPOSIT,987.02
27,2024-01-09,Gift,DEPOSIT,817.31
28,2024-01-09,Restaurant,WITHDRAWAL,-792.27
29,2024-01-09,Grocery Store,WITHDRAWAL,-364.88
30,2024-01-11,ATM Fee,FEE,-104.46
31,2024-01-11,Grocery Store,WITHDRAWAL,-331.93
32,2024-01-11,Gas Station,WITHDRAWAL,-281.97
33,2024-01-12,ATM Withdrawal,WITHDRAWAL,-971.99
34,2024-01-12,Monthly Maintenance Fee,FEE,-565.66
35,2024-01-13,ATM Withdrawal,WITHDRAWAL,-713.56
36,2024-01-13,Bonus,DEPOSIT,116.81
37,2024-01-13,Gift,DEPOSIT,480.62
38,2024-01-13,Gas Station,WITHDRAWAL,-908.49
39,2024-01-13,Paycheck,DEPOSIT,544.44
40,2024-01-14,Bonus,DEPOSIT,602.88
41,2024-01-14,Gas Station,WITHDRAWAL,-930.4
42,2024-01-14,Monthly Maintenance Fee,FEE,-114.44
43,2024-01-14,Gas Station,WITHDRAWAL,-194.7
44,2024-01-15,ATM Fee,FEE,-130.87
45,2024-01-15,Grocery Store,WITHDRAWAL,-118.95
46,2024-01-15,Refund,DEPOSIT,10.52
47,2024-01-15,Restaurant,WITHDRAWAL,-16.88
48,2024-01-15,ATM Withdrawal,WITHDRAWAL,-489.98
49,2024-01-17,Bonus,DEPOSIT,943.48
50,2024-01-17,Gas Station,WITHDRAWAL,-562.52
51,2024-01-18,ATM Withdrawal,WITHDRAWAL,-261.38
52,2024-01-18,Gift,DEPOSIT,502.28
53,2024-01-18,ATM Withdrawal,WITHDRAWAL,-997.76
54,2024-01-19,Grocery Store,WITHDRAWAL,-416.93
55,2024-01-19,Bonus,DEPOSIT,909.18
56,2024-01-20,ATM Withdrawal,WITHDRAWAL,-494.56
57,2024-01-20,Transfer from Savings,TRANSFER,596.77
58,2024-01-21,ATM Withdrawal,WITHDRAWAL,-730.93
59,2024-01-21,Gas Station,WITHDRAWAL,-983.59
60,2024-01-22,Gas Station,WITHDRAWAL,-800.36
61,2024-01-22,Gift,DEPOSIT,194.65
62,2024-01-22,Bonus,DEPOSIT,332.7
63,2024-01-22,Refund,DEPOSIT,516.97
64,2024-01-22,Bonus,DEPOSIT,105.21
65,2024-01-25,Overdraft Fee,FEE,-347.66
66,2024-01-27,Transfer from Savings,TRANSFER,698.83
67,2024-01-28,Bonus,DEPOSIT,559.65
68,2024-01-28,Grocery Store,WITHDRAWAL,-996.29
69,2024-01-28,Transfer to Savings,TRANSFER,-901.41
70,2024-01-29,Paycheck,DEPOSIT,355.72
71,2024-01-29,Restaurant,WITHDRAWAL,-857.76
72,2024-01-30,Gas Station,WITHDRAWAL,-852.42
73,2024-01-30,Transfer from Savings,TRANSFER,899.57
74,2024-01-30,Restaurant,WITHDRAWAL,-378.56
75,2024-01-30,Transfer to Savings,TRANSFER,-15.01
76,2024-01-30,Refund,DEPOSIT,490.76
77,2024-01-31,ATM Withdrawal,WITHDRAWAL,-184.17
78,2024-01-31,Refund,DEPOSIT,332.15
