transaction_id,transaction_date,description,transaction_type,amount
727,2024-11-01,ATM Withdrawal,WITHDRAWAL,-191.19
728,2024-11-01,Paycheck,DEPOSIT,233.06
729,2024-11-01,Gift,DEPOSIT,686.92
730,2024-11-01,Gas Station,WITHDRAWAL,-123.62
731,2024-11-02,Restaurant,WITHDRAWAL,-76.99
732,2024-11-03,Grocery Store,WITHDRAWAL,-90.91
733,2024-11-03,ATM Withdrawal,WITHDRAWAL,-434.34
734,2024-11-03,Refund,DEPOSIT,851.48
735,2024-11-03,Grocery Store,WITHDRAWAL,-863.37
736,2024-11-03,Restaurant,WITHDRAWAL,-549.98
737,2024-11-04,ATM Fee,FEE,-978.28
738,2024-11-04,ATM Withdrawal,WITHDRAWAL,-209.35
739,2024-11-04,Bonus,DEPOSIT,549.4
740,2024-11-04,Gas Station,WITHDRAWAL,-524.19
741,2024-11-04,Paycheck,DEPOSIT,663.03
742,2024-11-05,Overdraft Fee,FEE,-947.17
743,2024-11-05,Gas Station,WITHDRAWAL,-774.29
744,2024-11-05,Paycheck,DEPOSIT,103.21
745,2024-11-06,Transfer to Savings,TRANSFER,-396.82
746,2024-11-06,Restaurant,WITHDRAWAL,-660.21
747,2024-11-08,Restaurant,WITHDRAWAL,-446.66
748,2024-11-08,Bonus,DEPOSIT,528.1
749,2024-11-09,Gas Station,WITHDRAWAL,-283.68
750,2024-11-09,ATM Withdrawal,WITHDRAWAL,-402.01
751,2024-11-09,Transfer from Savings,TRANSFER,524.99
752,2024-11-10,Gas Station,WITHDRAWAL,-174.37
753,2024-11-10,ATM Withdrawal,WITHDRAWAL,-907.08
754,2024-11-10,Bonus,DEPOSIT,511.98
755,2024-11-11,Bonus,DEPOSIT,370.06
756,2024-11-11,Gas Station,WITHDRAWAL,-160.58
757,2024-11-11,Grocery Store,WITHDRAWAL,-968.08
758,2024-11-12,Overdraft Fee,FEE,-510.15
759,2024-11-12,Transfer to Savings,TRANSFER,-490.51
760,2024-11-13,ATM Withdrawal,WITHDRAWAL,-329.78
761,2024-11-13,Transfer from Savings,TRANSFER,433.21
762,2024-11-13,Gift,DEPOSIT,689.99
763,2024-11-13,Bonus,DEPOSIT,722.16
764,2024-11-14,Refund,DEPOSIT,734.18
765,2024-11-15,ATM Withdrawal,WITHDRAWAL,-820.87
766,2024-11-15,Restaurant,WITHDRAWAL,-761.99
767,2024-11-15,Transfer from Savings,TRANSFER,823.42
768,2024-11-15,ATM Withdrawal,WITHDRAWAL,-261.78
769,2024-11-16,ATM Fee,FEE,-182.02
770,2024-11-16,Gas Station,WITHDRAWAL,-96.31
771,2024-11-16,Restaurant,WITHDRAWAL,-150.55
772,2024-11-16,Restaurant,WITHDRAWAL,-199.35
773,2024-11-16,Restaurant,WITHDRAWAL,-624.72
774,2024-11-17,Gas Station,WITHDRAWAL,-476.57
775,2024-11-17,Transfer to Savings,TRANSFER,-40.8
776,2024-11-17,Grocery Store,WITHDRAWAL,-331.85
777,2024-11-17,Gas Station,WITHDRAWAL,-684.85
778,2024-11-17,Bonus,DEPOSIT,234.91
779,2024-11-18,ATM Withdrawal,WITHDRAWAL,-223.37
780,2024-11-18,ATM Withdrawal,WITHDRAWAL,-42.86
781,2024-11-19,Gas Station,WITHDRAWAL,-938.92
782,2024-11-19,Overdraft Fee,FEE,-809.32
783,2024-11-19,Gift,DEPOSIT,267.68
784,2024-11-19,Transfer to Savings,TRANSFER,-10.19
785,2024-11-20,Bonus,DEPOSIT,385.71
786,2024-11-20,Paycheck,DEPOSIT,551.18
787,2024-11-21,Restaurant,WITHDRAWAL,-119.61
788,2024-11-21,ATM Withdrawal,WITHDRAWAL,-427.23
789,2024-11-22,Transfer to Savings,TRANSFER,-136.18
790,2024-11-22,Grocery Store,WITHDRAWAL,-911.66
791,2024-11-22,ATM Withdrawal,WITHDRAWAL,-841.07
792,2024-11-22,Transfer from Savings,TRANSFER,729.4
793,2024-11-22,Restaurant,WITHDRAWAL,-537.35
794,2024-11-23,ATM Fee,FEE,-226.26
795,2024-11-23,Bonus,DEPOSIT,105.57
796,2024-11-24,Paycheck,DEPOSIT,474.08
797,2024-11-24,Restaurant,WITHDRAWAL,-83.5
798,2024-11-24,Refund,DEPOSIT,745.76
799,2024-11-24,Bonus,DEPOSIT,878.47
800,2024-11-24,Monthly Maintenance Fee,FEE,-597.29
801,2024-11-26,ATM Fee,FEE,-434.89
802,2024-11-26,Refund,DEPOSIT,857.14
803,2024-11-26,ATM Withdrawal,WITHDRAWAL,-259.78
804,2024-11-26,Bonus,DEPOSIT,123.78
805,2024-11-27,ATM Withdrawal,WITHDRAWAL,-672.51
806,2024-11-27,Monthly Maintenance Fee,FEE,-34.89
807,2024-11-27,Gas Station,WITHDRAWAL,-323.78
808,2024-11-27,Restaurant,WITHDRAWAL,-146.15
809,2024-11-28,Monthly Maintenance Fee,FEE,-178.88
810,2024-11-28,Transfer from Savings,TRANSFER,595.78
811,2024-11-29,Restaurant,WITHDRAWAL,-517.24
812,2024-11-29,Refund,DEPOSIT,788.88
813,2024-11-29,Transfer from Savings,TRANSFER,951.03
814,2024-11-29,Restaurant,WITHDRAWAL,-984.0
815,2024-11-30,Paycheck,DEPOSIT,12.89
816,2024-11-30,Refund,DEPOSIT,55.19
817,2024-11-30,Bonus,DEPOSIT,474.95
818,2024-11-30,ATM Withdrawal,WITHDRAWAL,-487.22
819,2024-11-30,Gift,DEPOSIT,452.99
