transaction_id,transaction_date,description,transaction_type,amount
358,2024-06-02,Restaurant,WITHDRAWAL,-696.24
359,2024-06-04,Gas Station,WITHDRAWAL,-708.52
360,2024-06-04,Transfer to Savings,TRANSFER,-560.25
361,2024-06-04,Restaurant,WITHDRAWAL,-43.61
362,2024-06-04,ATM Withdrawal,WITHDRAWAL,-200.67
363,2024-06-05,ATM Withdrawal,WITHDRAWAL,-479.47
364,2024-06-06,Gift,DEPOSIT,325.91
365,2024-06-06,Monthly Maintenance Fee,FEE,-653.67
366,2024-06-06,Gas Station,WITHDRAWAL,-129.36
367,2024-06-06,Paycheck,DEPOSIT,534.96
368,2024-06-06,Restaurant,WITHDRAWAL,-74.7
369,2024-06-08,ATM Withdrawal,WITHDRAWAL,-740.48
370,2024-06-08,ATM Withdrawal,WITHDRAWAL,-619.7
371,2024-06-08,Gift,DEPOSIT,467.32
372,2024-06-09,Gift,DEPOSIT,193.62
373,2024-06-10,Transfer to Savings,TRANSFER,-79.33
374,2024-06-11,Grocery Store,WITHDRAWAL,-97.66
375,2024-06-11,Bonus,DEPOSIT,631.23
376,2024-06-11,Overdraft Fee,FEE,-404.3
377,2024-06-11,Gift,DEPOSIT,427.14
378,2024-06-11,Grocery Store,WITHDRAWAL,-13.31
379,2024-06-12,Grocery Store,WITHDRAWAL,-854.29
380,2024-06-12,ATM Withdrawal,WITHDRAWAL,-51.67
381,2024-06-12,Refund,DEPOSIT,54.65
382,2024-06-12,Paycheck,DEPOSIT,682.85
383,2024-06-13,Transfer to Savings,TRANSFER,-788.48
384,2024-06-13,Refund,DEPOSIT,982.51
385,2024-06-13,Overdraft Fee,FEE,-904.69
386,2024-06-14,Bonus,DEPOSIT,74.34
387,2024-06-15,ATM Fee,FEE,-611.66
388,2024-06-15,Grocery Store,WITHDRAWAL,-56.48
389,2024-06-15,ATM Withdrawal,WITHDRAWAL,-194.57
390,2024-06-16,Monthly Maintenance Fee,FEE,-67.26
391,2024-06-16,Transfer to Savings,TRANSFER,-523.08
392,2024-06-17,Transfer to Savings,TRANSFER,-267.63
393,2024-06-17,Grocery Store,WITHDRAWAL,-699.06
394,2024-06-17,Bonus,DEPOSIT,468.75
395,2024-06-18,Gift,DEPOSIT,44.52
396,2024-06-18,Monthly Maintenance Fee,FEE,-100.57
397,2024-06-18,Overdraft Fee,FEE,-280.23
398,2024-06-18,Restaurant,WITHDRAWAL,-956.09
399,2024-06-19,Gift,DEPOSIT,658.69
400,2024-06-19,Restaurant,WITHDRAWAL,-288.58
401,2024-06-19,Refund,DEPOSIT,267.16
402,2024-06-20,Refund,DEPOSIT,90.24
403,2024-06-20,Paycheck,DEPOSIT,895.54
404,2024-06-20,Transfer from Savings,TRANSFER,500.2
405,2024-06-20,ATM Withdrawal,WITHDRAWAL,-907.45
406,2024-06-21,Grocery Store,WITHDRAWAL,-548.34
407,2024-06-21,Monthly Maintenance Fee,FEE,-879.84
408,2024-06-22,Monthly Maintenance Fee,FEE,-165.77
409,2024-06-22,Paycheck,DEPOSIT,838.64
410,2024-06-24,Restaurant,WITHDRAWAL,-702.0
411,2024-06-24,Paycheck,DEPOSIT,882.06
412,2024-06-24,Overdraft Fee,FEE,-880.28
413,2024-06-24,Bonus,DEPOSIT,341.77
414,2024-06-25,Transfer from Savings,TRANSFER,819.79
415,2024-06-25,Monthly Maintenance Fee,FEE,-266.1
416,2024-06-25,Paycheck,DEPOSIT,620.76
417,2024-06-25,Transfer to Savings,TRANSFER,-124.69
418,2024-06-25,Gas Station,WITHDRAWAL,-544.59
419,2024-06-26,Gift,DEPOSIT,763.42
420,2024-06-26,Gas Station,WITHDRAWAL,-841.72
421,2024-06-27,Grocery Store,WITHDRAWAL,-756.16
422,2024-06-27,Gas Station,WITHDRAWAL,-691.01
423,2024-06-27,Gift,DEPOSIT,174.71
424,2024-06-28,Refund,DEPOSIT,478.84
425,2024-06-28,Bonus,DEPOSIT,55.28
426,2024-06-28,Overdraft Fee,FEE,-969.19
427,2024-06-29,Gas Station,WITHDRAWAL,-760.68
428,2024-06-29,Gift,DEPOSIT,823.3
429,2024-06-29,Gas Station,WITHDRAWAL,-772.7
430,2024-06-30,Refund,DEPOSIT,280.89
