transaction_id,transaction_date,description,transaction_type,amount
649,2024-10-03,Restaurant,WITHDRAWAL,-130.17
650,2024-10-04,Paycheck,DEPOSIT,647.47
651,2024-10-04,Grocery Store,WITHDRAWAL,-896.86
652,2024-10-04,Gas Station,WITHDRAWAL,-299.89
653,2024-10-04,Transfer from Savings,TRANSFER,491.16
654,2024-10-04,Transfer from Savings,TRANSFER,813.65
655,2024-10-05,Refund,DEPOSIT,344.88
656,2024-10-05,Transfer to Savings,TRANSFER,-104.06
657,2024-10-05,Grocery Store,WITHDRAWAL,-445.01
658,2024-10-07,Transfer from Savings,TRANSFER,929.03
659,2024-10-08,Refund,DEPOSIT,22.59
660,2024-10-08,Transfer from Savings,TRANSFER,817.79
661,2024-10-08,Monthly Maintenance Fee,FEE,-265.85
662,2024-10-09,Grocery Store,WITHDRAWAL,-465.93
663,2024-10-10,Restaurant,WITHDRAWAL,-188.79
664,2024-10-10,Bonus,DEPOSIT,549.58
665,2024-10-10,Transfer from Savings,TRANSFER,544.16
666,2024-10-10,Grocery Store,WITHDRAWAL,-140.41
667,2024-10-10,Restaurant,WITHDRAWAL,-965.48
668,2024-10-11,Bonus,DEPOSIT,735.47
669,2024-10-11,ATM Withdrawal,WITHDRAWAL,-745.99
670,2024-10-12,Gift,DEPOSIT,160.05
671,2024-10-12,Bonus,DEPOSIT,639.93
672,2024-10-13,Refund,DEPOSIT,562.46
673,2024-10-13,Monthly Maintenance Fee,FEE,-882.64
674,2024-10-13,Gift,DEPOSIT,407.48
675,2024-10-13,Overdraft Fee,FEE,-317.82
676,2024-10-14,Restaurant,WITHDRAWAL,-618.83
677,2024-10-14,Gas Station,WITHDRAWAL,-785.95
678,2024-10-14,Grocery Store,WITHDRAWAL,-849.57
679,2024-10-14,Monthly Maintenance Fee,FEE,-20.92
680,2024-10-16,Gas Station,WITHDRAWAL,-333.66
681,2024-10-17,ATM Fee,FEE,-877.88
682,2024-10-17,Transfer from Savings,TRANSFER,391.52
683,2024-10-18,Gas Station,WITHDRAWAL,-225.04
684,2024-10-18,Refund,DEPOSIT,418.5
685,2024-10-18,ATM Withdrawal,WITHDRAWAL,-38.78
686,2024-10-19,ATM Withdrawal,WITHDRAWAL,-393.8
687,2024-10-19,Restaurant,WITHDRAWAL,-486.16
688,2024-10-19,Gas Station,WITHDRAWAL,-113.1
689,2024-10-19,Bonus,DEPOSIT,565.05
690,2024-10-19,Grocery Store,WITHDRAWAL,-603.38
691,2024-10-20,Bonus,DEPOSIT,328.89
692,2024-10-20,Restaurant,WITHDRAWAL,-67.97
693,2024-10-21,Grocery Store,WITHDRAWAL,-710.6
694,2024-10-21,Gas Station,WITHDRAWAL,-525.09
695,2024-10-21,Grocery Store,WITHDRAWAL,-334.91
696,2024-10-21,Grocery Store,WITHDRAWAL,-377.71
697,2024-10-23,Overdraft Fee,FEE,-998.36
698,2024-10-23,Transfer to Savings,TRANSFER,-181.75
699,2024-10-24,Gas Station,WITHDRAWAL,-186.47
700,2024-10-24,Restaurant,WITHDRAWAL,-841.4
701,2024-10-24,ATM Withdrawal,WITHDRAWAL,-950.81
702,2024-10-24,Bonus,DEPOSIT,368.61
703,2024-10-24,ATM Withdrawal,WITHDRAWAL,-703.25
704,2024-10-25,Monthly Maintenance Fee,FEE,-700.69
705,2024-10-25,Transfer to Savings,TRANSFER,-941.27
706,2024-10-25,Refund,DEPOSIT,233.29
707,2024-10-25,Gas Station,WITHDRAWAL,-194.24
708,2024-10-25,ATM Fee,FEE,-937.98
709,2024-10-26,Bonus,DEPOSIT,59.34
710,2024-10-26,Transfer to Savings,TRANSFER,-442.48
711,2024-10-26,Grocery Store,WITHDRAWAL,-66.71
712,2024-10-27,Gas Station,WITHDRAWAL,-404.85
713,2024-10-27,Transfer to Savings,TRANSFER,-957.05
714,2024-10-27,Bonus,DEPOSIT,54.15
715,2024-10-27,Gift,DEPOSIT,254.51
716,2024-10-27,Transfer from Savings,TRANSFER,975.09
717,2024-10-28,ATM Withdrawal,WITHDRAWAL,-778.94
718,2024-10-28,Paycheck,DEPOSIT,854.56
719,2024-10-28,Refund,DEPOSIT,907.37
720,2024-10-28,Bonus,DEPOSIT,322.04
721,2024-10-28,Grocery Store,WITHDRAWAL,-900.84
722,2024-10-29,Restaurant,WITHDRAWAL,-963.76
723,2024-10-30,Bonus,DEPOSIT,789.84
724,2024-10-30,ATM Withdrawal,WITHDRAWAL,-981.48
725,2024-10-30,Gift,DEPOSIT,727.9
726,2024-10-30,Paycheck,DEPOSIT,469.29
