transaction_id,transaction_date,description,transaction_type,amount
505,2024-08-01,Paycheck,DEPOSIT,130.89
506,2024-08-01,ATM Withdrawal,WITHDRAWAL,-97.67
507,2024-08-01,Gift,DEPOSIT,51.16
508,2024-08-02,Grocery Store,WITHDRAWAL,-965.47
509,2024-08-03,Paycheck,DEPOSIT,642.73
510,2024-08-03,Overdraft Fee,FEE,-261.68
511,2024-08-04,Gas Station,WITHDRAWAL,-536.92
512,2024-08-04,Refund,DEPOSIT,314.85
513,2024-08-05,Gift,DEPOSIT,170.76
514,2024-08-06,Bonus,DEPOSIT,164.6
515,2024-08-06,Gift,DEPOSIT,185.38
516,2024-08-06,Restaurant,WITHDRAWAL,-978.84
517,2024-08-06,Grocery Store,WITHDRAWAL,-502.2
518,2024-08-08,Monthly Maintenance Fee,FEE,-40.08
519,2024-08-10,Transfer to Savings,TRANSFER,-223.52
520,2024-08-10,ATM Withdrawal,WITHDRAWAL,-670.3
521,2024-08-10,Grocery Store,WITHDRAWAL,-661.27
522,2024-08-10,Transfer from Savings,TRANSFER,324.93
523,2024-08-10,Monthly Maintenance Fee,FEE,-872.05
524,2024-08-12,ATM Withdrawal,WITHDRAWAL,-118.02
525,2024-08-12,Grocery Store,WITHDRAWAL,-333.76
526,2024-08-12,Grocery Store,WITHDRAWAL,-902.36
527,2024-08-12,Overdraft Fee,FEE,-441.23
528,2024-08-13,Grocery Store,WITHDRAWAL,-549.04
529,2024-08-13,Gift,DEPOSIT,633.91
530,2024-08-14,ATM Withdrawal,WITHDRAWAL,-386.62
531,2024-08-15,ATM Withdrawal,WITHDRAWAL,-550.23
532,2024-08-15,Grocery Store,WITHDRAWAL,-82.46
533,2024-08-15,Grocery Store,WITHDRAWAL,-646.15
534,2024-08-15,ATM Withdrawal,WITHDRAWAL,-385.99
535,2024-08-16,Transfer from Savings,TRANSFER,484.39
536,2024-08-17,Monthly Maintenance Fee,FEE,-386.39
537,2024-08-17,ATM Withdrawal,WITHDRAWAL,-253.61
538,2024-08-17,Restaurant,WITHDRAWAL,-767.23
539,2024-08-17,ATM Fee,FEE,-718.34
540,2024-08-18,Gift,DEPOSIT,436.55
541,2024-08-18,Monthly Maintenance Fee,FEE,-899.05
542,2024-08-20,Transfer to Savings,TRANSFER,-205.18
543,2024-08-20,Restaurant,WITHDRAWAL,-110.41
544,2024-08-20,Gas Station,WITHDRAWAL,-527.85
545,2024-08-21,Restaurant,WITHDRAWAL,-536.94
546,2024-08-21,Grocery Store,WITHDRAWAL,-614.23
547,2024-08-21,ATM Withdrawal,WITHDRAWAL,-976.96
548,2024-08-21,ATM Fee,FEE,-189.34
549,2024-08-21,Grocery Store,WITHDRAWAL,-801.78
550,2024-08-23,Bonus,DEPOSIT,963.3
551,2024-08-24,Refund,DEPOSIT,554.72
552,2024-08-24,Refund,DEPOSIT,121.18
553,2024-08-24,Refund,DEPOSIT,821.0
554,2024-08-25,Grocery Store,WITHDRAWAL,-219.92
555,2024-08-25,Grocery Store,WITHDRAWAL,-367.16
556,2024-08-25,Transfer from Savings,TRANSFER,359.89
557,2024-08-25,Paycheck,DEPOSIT,309.04
558,2024-08-25,Gas Station,WITHDRAWAL,-429.5
559,2024-08-26,Overdraft Fee,FEE,-627.62
560,2024-08-28,Paycheck,DEPOSIT,739.51
561,2024-08-29,ATM Withdrawal,WITHDRAWAL,-104.76
562,2024-08-30,Gas Station,WITHDRAWAL,-214.12
563,2024-08-30,ATM Withdrawal,WITHDRAWAL,-397.0
564,2024-08-30,Grocery Store,WITHDRAWAL,-150.36
565,2024-08-30,Gift,DEPOSIT,698.19
566,2024-08-31,ATM Withdrawal,WITHDRAWAL,-720.42
567,2024-08-31,Restaurant,WITHDRAWAL,-347.68
